proyecto,etapa_numero,etapa_nombre,transicion,evento,txid,network,explorer_preprod,confirmaciones_koios_2026-09-11
Torre Volumen 1,6,Estructura niveles superiores,Mint (declaración),STAGE_CREATED,f24667903957ee5f1e861bff00e6d754a21e1b7ae8c2c8cd18862fa0d745f482,Preprod,https://preprod.cardanoscan.io/transaction/f24667903957ee5f1e861bff00e6d754a21e1b7ae8c2c8cd18862fa0d745f482,3755
Torre Volumen 1,6,Estructura niveles superiores,Ancla evidencia,EVIDENCE_ANCHOR,b6e9e7d651d15a69d7757a039ec2dc56ba4b82352a300ae545aa09b6deb4b6ad,Preprod,https://preprod.cardanoscan.io/transaction/b6e9e7d651d15a69d7757a039ec2dc56ba4b82352a300ae545aa09b6deb4b6ad,3684
Torre Volumen 1,6,Estructura niveles superiores,Auto Pending→InProgress,STAGE_TRANSITION,fddf96d86bab1f01b5db73c000b9e571ee9fdc88841873af5056458e073fa4de,Preprod,https://preprod.cardanoscan.io/transaction/fddf96d86bab1f01b5db73c000b9e571ee9fdc88841873af5056458e073fa4de,3684
Torre Volumen 1,6,Estructura niveles superiores,Observar (InProgress→Observed),STAGE_TRANSITION,0657eebfa52e3775595c9f1b2ad5ff5bb989c1decf359355674325b4c7f238a4,Preprod,https://preprod.cardanoscan.io/transaction/0657eebfa52e3775595c9f1b2ad5ff5bb989c1decf359355674325b4c7f238a4,3566
Torre Volumen 1,6,Estructura niveles superiores,Reanudar (Observed→InProgress),STAGE_TRANSITION,d5e8f54c298f8fb0f42a16685090526af1466a55e5a5ed733e065c47cecc1556,Preprod,https://preprod.cardanoscan.io/transaction/d5e8f54c298f8fb0f42a16685090526af1466a55e5a5ed733e065c47cecc1556,3518
Torre Volumen 1,6,Estructura niveles superiores,Certificar (InProgress→Completed),STAGE_TRANSITION,c3c0bd1925eaa0554bee0daf3e0ff05e84787ee377ba22d909d20f4e437a82fc,Preprod,https://preprod.cardanoscan.io/transaction/c3c0bd1925eaa0554bee0daf3e0ff05e84787ee377ba22d909d20f4e437a82fc,3491
Torre Volumen 1,7,Cerramientos y mampostería,Mint (declaración),STAGE_CREATED,3759177e0e18f520b02454d3df9bb9066aa2f58cb37a4ca4a61615171c6c3ed1,Preprod,https://preprod.cardanoscan.io/transaction/3759177e0e18f520b02454d3df9bb9066aa2f58cb37a4ca4a61615171c6c3ed1,3754
Torre Volumen 1,7,Cerramientos y mampostería,Ancla evidencia,EVIDENCE_ANCHOR,4aa94e5207574700a1adc214ac9551c947fc76151e248eea02b4d4e57263411b,Preprod,https://preprod.cardanoscan.io/transaction/4aa94e5207574700a1adc214ac9551c947fc76151e248eea02b4d4e57263411b,3680
Torre Volumen 1,7,Cerramientos y mampostería,Auto Pending→InProgress,STAGE_TRANSITION,17b8ba858673a85930a20c98f25a4cf9ab0ac11715b6924b3e22b9c4e82c015f,Preprod,https://preprod.cardanoscan.io/transaction/17b8ba858673a85930a20c98f25a4cf9ab0ac11715b6924b3e22b9c4e82c015f,3679
Torre Volumen 1,7,Cerramientos y mampostería,Observar (InProgress→Observed),STAGE_TRANSITION,fac73f94fad34601f9cbdc2ad8b0b4ad8bff371248430c762dcde6ff2f0414c2,Preprod,https://preprod.cardanoscan.io/transaction/fac73f94fad34601f9cbdc2ad8b0b4ad8bff371248430c762dcde6ff2f0414c2,3565
Torre Volumen 1,7,Cerramientos y mampostería,Reanudar (Observed→InProgress),STAGE_TRANSITION,06f51b9cd7f773b3b68dcb95c1ff1039e53458d63703b3bb304bfee44610c689,Preprod,https://preprod.cardanoscan.io/transaction/06f51b9cd7f773b3b68dcb95c1ff1039e53458d63703b3bb304bfee44610c689,3517
Torre Volumen 1,7,Cerramientos y mampostería,Certificar (InProgress→Completed),STAGE_TRANSITION,5b080c1ffd8988c6f60603334bbc9447ce31fc3944c873b1fba5654205e81e70,Preprod,https://preprod.cardanoscan.io/transaction/5b080c1ffd8988c6f60603334bbc9447ce31fc3944c873b1fba5654205e81e70,3491
Torre Volumen 1,8,Instalaciones,Mint (declaración),STAGE_CREATED,0b71997e680748e92cf06e09db8d65fe17cc625f2e3af046d5b0a869aff47189,Preprod,https://preprod.cardanoscan.io/transaction/0b71997e680748e92cf06e09db8d65fe17cc625f2e3af046d5b0a869aff47189,3750
Torre Volumen 1,8,Instalaciones,Ancla evidencia,EVIDENCE_ANCHOR,f73af36678a0f54ee50ce54dec25ab9899c2a018c14c4dc6659e5f0905a13ab8,Preprod,https://preprod.cardanoscan.io/transaction/f73af36678a0f54ee50ce54dec25ab9899c2a018c14c4dc6659e5f0905a13ab8,3677
Torre Volumen 1,8,Instalaciones,Auto Pending→InProgress,STAGE_TRANSITION,fd78664b3b6599ff99097f1fd2e7bd99c70cf9afbecd4fe2d1bbc071a8b853fd,Preprod,https://preprod.cardanoscan.io/transaction/fd78664b3b6599ff99097f1fd2e7bd99c70cf9afbecd4fe2d1bbc071a8b853fd,3676
Torre Volumen 1,8,Instalaciones,Observar (InProgress→Observed),STAGE_TRANSITION,cb46248e9fed481262dda1d514e05b26db8dbf337e747dc5203c397794eabdbb,Preprod,https://preprod.cardanoscan.io/transaction/cb46248e9fed481262dda1d514e05b26db8dbf337e747dc5203c397794eabdbb,3561
Torre Volumen 1,8,Instalaciones,Reanudar (Observed→InProgress),STAGE_TRANSITION,dcef912606d674522fb6a581e14d48a457683b1ea77898646486f1138a6615b6,Preprod,https://preprod.cardanoscan.io/transaction/dcef912606d674522fb6a581e14d48a457683b1ea77898646486f1138a6615b6,3517
Torre Volumen 1,8,Instalaciones,Certificar (InProgress→Completed),STAGE_TRANSITION,ead1aa198a77e19bb2d73bc3529203e08afe8b50aae334edf66b766253f5dfca,Preprod,https://preprod.cardanoscan.io/transaction/ead1aa198a77e19bb2d73bc3529203e08afe8b50aae334edf66b766253f5dfca,3490
Torre Volumen 1,9,Terminaciones,Mint (declaración),STAGE_CREATED,085ebd2ec2b589ac2baf8dbae106118c74e27d24a02eb9811078f0b5cfe2c6fb,Preprod,https://preprod.cardanoscan.io/transaction/085ebd2ec2b589ac2baf8dbae106118c74e27d24a02eb9811078f0b5cfe2c6fb,3749
Torre Volumen 1,9,Terminaciones,Ancla evidencia,EVIDENCE_ANCHOR,6c6c1e208285c9395a099d0f5502e3d9ab5083adbc8629068decf9241254012d,Preprod,https://preprod.cardanoscan.io/transaction/6c6c1e208285c9395a099d0f5502e3d9ab5083adbc8629068decf9241254012d,3672
Torre Volumen 1,9,Terminaciones,Auto Pending→InProgress,STAGE_TRANSITION,c837dd192222c49ee971a9d8188195dd35d4216422d8b2fb12cc3a9d0bdb37d0,Preprod,https://preprod.cardanoscan.io/transaction/c837dd192222c49ee971a9d8188195dd35d4216422d8b2fb12cc3a9d0bdb37d0,3672
Torre Volumen 1,9,Terminaciones,Observar (InProgress→Observed),STAGE_TRANSITION,531cb045476bce32010fb54e588e48566b871aebfd9b1a05f05927a2a3eed82b,Preprod,https://preprod.cardanoscan.io/transaction/531cb045476bce32010fb54e588e48566b871aebfd9b1a05f05927a2a3eed82b,3562
Torre Volumen 1,9,Terminaciones,Reanudar (Observed→InProgress),STAGE_TRANSITION,2cbb0bc5b1abac1cee1120499fc4c28fb78749f8ccc2c3a8e39e1784a7f9aeba,Preprod,https://preprod.cardanoscan.io/transaction/2cbb0bc5b1abac1cee1120499fc4c28fb78749f8ccc2c3a8e39e1784a7f9aeba,3516
Torre Volumen 1,9,Terminaciones,Certificar (InProgress→Completed),STAGE_TRANSITION,9ebcf753e8c88ba6b4c3aed1de2b41bd968aa1d74a66e325fb83aaf68ae3bc5b,Preprod,https://preprod.cardanoscan.io/transaction/9ebcf753e8c88ba6b4c3aed1de2b41bd968aa1d74a66e325fb83aaf68ae3bc5b,3490
Torre Volumen 1,10,Final de obra y subdivisión,Mint (declaración),STAGE_CREATED,fe3d21b358bf931e5f78dbc559f66cc2b2b341a9c5a62dc95c504dd6ef0af2b2,Preprod,https://preprod.cardanoscan.io/transaction/fe3d21b358bf931e5f78dbc559f66cc2b2b341a9c5a62dc95c504dd6ef0af2b2,3748
Torre Volumen 1,10,Final de obra y subdivisión,Ancla evidencia,EVIDENCE_ANCHOR,36fce09bd1a041b41fbb04fa573b1f4f253e95e0cd62d0bc2cf9dd010e346dad,Preprod,https://preprod.cardanoscan.io/transaction/36fce09bd1a041b41fbb04fa573b1f4f253e95e0cd62d0bc2cf9dd010e346dad,3667
Torre Volumen 1,10,Final de obra y subdivisión,Auto Pending→InProgress,STAGE_TRANSITION,831a17ab5b34365437787729cdb2750a90a033af858ff839738c6e9a665fd9e7,Preprod,https://preprod.cardanoscan.io/transaction/831a17ab5b34365437787729cdb2750a90a033af858ff839738c6e9a665fd9e7,3667
Torre Volumen 1,10,Final de obra y subdivisión,Observar (InProgress→Observed),STAGE_TRANSITION,2e5f84b76f0a9f950cad20018d1aac526981044e1c135cd2bc9aa9bc15873609,Preprod,https://preprod.cardanoscan.io/transaction/2e5f84b76f0a9f950cad20018d1aac526981044e1c135cd2bc9aa9bc15873609,3558
Torre Volumen 1,10,Final de obra y subdivisión,Reanudar (Observed→InProgress),STAGE_TRANSITION,aa1abfd70a388fcb26eb2e3ffab3d12e6450db4e8c866bd7d286a85ea333714e,Preprod,https://preprod.cardanoscan.io/transaction/aa1abfd70a388fcb26eb2e3ffab3d12e6450db4e8c866bd7d286a85ea333714e,3516
Torre Volumen 1,10,Final de obra y subdivisión,Certificar (InProgress→Completed),STAGE_TRANSITION,ab9794a5010eb0d6f672cd0e9bc45f1499a8e38f904e3ca080625c7714b95ba7,Preprod,https://preprod.cardanoscan.io/transaction/ab9794a5010eb0d6f672cd0e9bc45f1499a8e38f904e3ca080625c7714b95ba7,3489
Torre Volumen 2,1,Adquisición del terreno,Mint (declaración),STAGE_CREATED,d253922c485274b6c4cc79069564fc25ffc0fd9380ef5944d6963462437cf0af,Preprod,https://preprod.cardanoscan.io/transaction/d253922c485274b6c4cc79069564fc25ffc0fd9380ef5944d6963462437cf0af,3743
Torre Volumen 2,1,Adquisición del terreno,Ancla evidencia,EVIDENCE_ANCHOR,f4df818e30b64f7c74fbcfd54308a83a5d0648fb2018701bbe33b43d6fdaca33,Preprod,https://preprod.cardanoscan.io/transaction/f4df818e30b64f7c74fbcfd54308a83a5d0648fb2018701bbe33b43d6fdaca33,3664
Torre Volumen 2,1,Adquisición del terreno,Auto Pending→InProgress,STAGE_TRANSITION,e6df4aba0a3fb38179cd69b9eb817e3fdd06dbf0aa6ca67174cf065ac835e72f,Preprod,https://preprod.cardanoscan.io/transaction/e6df4aba0a3fb38179cd69b9eb817e3fdd06dbf0aa6ca67174cf065ac835e72f,3664
Torre Volumen 2,1,Adquisición del terreno,Observar (InProgress→Observed),STAGE_TRANSITION,5bf3fc45f50b9c91be9ebe3edde5565b6938dcffd7d76065f3d4832dfc5c4125,Preprod,https://preprod.cardanoscan.io/transaction/5bf3fc45f50b9c91be9ebe3edde5565b6938dcffd7d76065f3d4832dfc5c4125,3556
Torre Volumen 2,1,Adquisición del terreno,Reanudar (Observed→InProgress),STAGE_TRANSITION,c9227010477854f49378182140753ea3a5a8dcd67ff98d480bd4d5b7864bc166,Preprod,https://preprod.cardanoscan.io/transaction/c9227010477854f49378182140753ea3a5a8dcd67ff98d480bd4d5b7864bc166,3516
Torre Volumen 2,1,Adquisición del terreno,Certificar (InProgress→Completed),STAGE_TRANSITION,6b50c5ca5ede70b2963b6c395e3d4b51ead85f6588b2ad07a91394597e9bcab6,Preprod,https://preprod.cardanoscan.io/transaction/6b50c5ca5ede70b2963b6c395e3d4b51ead85f6588b2ad07a91394597e9bcab6,3488
Torre Volumen 2,2,Proyecto ejecutivo,Mint (declaración),STAGE_CREATED,9b14ec76069b288397955f48fd40f5f2ae532c456be4c2e0d0b6860dcd39d6a2,Preprod,https://preprod.cardanoscan.io/transaction/9b14ec76069b288397955f48fd40f5f2ae532c456be4c2e0d0b6860dcd39d6a2,3742
Torre Volumen 2,2,Proyecto ejecutivo,Ancla evidencia,EVIDENCE_ANCHOR,d4e4734b359498ae890865f40b3df84d7de5b22be792f547b51f3886a7c06d9d,Preprod,https://preprod.cardanoscan.io/transaction/d4e4734b359498ae890865f40b3df84d7de5b22be792f547b51f3886a7c06d9d,3660
Torre Volumen 2,2,Proyecto ejecutivo,Auto Pending→InProgress,STAGE_TRANSITION,0d9034de19a21a23accef7e0054147ea8569a8f33610681e40de1defe110e30a,Preprod,https://preprod.cardanoscan.io/transaction/0d9034de19a21a23accef7e0054147ea8569a8f33610681e40de1defe110e30a,3660
Torre Volumen 2,2,Proyecto ejecutivo,Observar (InProgress→Observed),STAGE_TRANSITION,e1d0528b8ec48ed2f601d11ffda0250143153c66bbc2bf424a293114e13fc92c,Preprod,https://preprod.cardanoscan.io/transaction/e1d0528b8ec48ed2f601d11ffda0250143153c66bbc2bf424a293114e13fc92c,3555
Torre Volumen 2,2,Proyecto ejecutivo,Reanudar (Observed→InProgress),STAGE_TRANSITION,c2768c1e712d7e6f42484a56ceb2de5bdd1a3684daa1fcdf00dcea6958dd798e,Preprod,https://preprod.cardanoscan.io/transaction/c2768c1e712d7e6f42484a56ceb2de5bdd1a3684daa1fcdf00dcea6958dd798e,3515
Torre Volumen 2,2,Proyecto ejecutivo,Certificar (InProgress→Completed),STAGE_TRANSITION,2f754af5c1b445d300ed81bc8a5ece986516518bdacbd17e072baf4cb19258a3,Preprod,https://preprod.cardanoscan.io/transaction/2f754af5c1b445d300ed81bc8a5ece986516518bdacbd17e072baf4cb19258a3,3487
Torre Volumen 2,3,Movimiento de suelos y excavación,Mint (declaración),STAGE_CREATED,d5fced405b5b3f256c0a33b19cce9284ef76d321086eb41315ebb8cb329e2aa2,Preprod,https://preprod.cardanoscan.io/transaction/d5fced405b5b3f256c0a33b19cce9284ef76d321086eb41315ebb8cb329e2aa2,3740
Torre Volumen 2,3,Movimiento de suelos y excavación,Ancla evidencia,EVIDENCE_ANCHOR,b36aa79c33c85fbef36c25f270c8f7ac28521d75f3579b163ef01c8dd07b1aa2,Preprod,https://preprod.cardanoscan.io/transaction/b36aa79c33c85fbef36c25f270c8f7ac28521d75f3579b163ef01c8dd07b1aa2,3656
Torre Volumen 2,3,Movimiento de suelos y excavación,Auto Pending→InProgress,STAGE_TRANSITION,ac7bd08fd8bee1bda6ddce08f89a6f0ff1dcfe98e1b14196777bb8f9df9d792c,Preprod,https://preprod.cardanoscan.io/transaction/ac7bd08fd8bee1bda6ddce08f89a6f0ff1dcfe98e1b14196777bb8f9df9d792c,3656
Torre Volumen 2,3,Movimiento de suelos y excavación,Observar (InProgress→Observed),STAGE_TRANSITION,ea8c78ef3244e8551af2e42db2a37fb40a4d14b091d6aa4797c0baf12385e03a,Preprod,https://preprod.cardanoscan.io/transaction/ea8c78ef3244e8551af2e42db2a37fb40a4d14b091d6aa4797c0baf12385e03a,3553
Torre Volumen 2,3,Movimiento de suelos y excavación,Reanudar (Observed→InProgress),STAGE_TRANSITION,d451bbbce026434ecb2a76b38dd516ad63b24835f24a9522631bd270b00c78b5,Preprod,https://preprod.cardanoscan.io/transaction/d451bbbce026434ecb2a76b38dd516ad63b24835f24a9522631bd270b00c78b5,3513
Torre Volumen 2,3,Movimiento de suelos y excavación,Certificar (InProgress→Completed),STAGE_TRANSITION,a5c90d6cef0dd15f1553ad3a40437e7e008e32e99963883d4e9d551358724f0f,Preprod,https://preprod.cardanoscan.io/transaction/a5c90d6cef0dd15f1553ad3a40437e7e008e32e99963883d4e9d551358724f0f,3483
Torre Volumen 2,4,Cimentación,Mint (declaración),STAGE_CREATED,5fa9493e2208ed94696354d7ca7374acb97a2683bb496db46d91a96b39f422fc,Preprod,https://preprod.cardanoscan.io/transaction/5fa9493e2208ed94696354d7ca7374acb97a2683bb496db46d91a96b39f422fc,3739
Torre Volumen 2,4,Cimentación,Ancla evidencia,EVIDENCE_ANCHOR,5cd74d393fd69e74d84eb156d66e4c40f7b489a9f003399a8d68a248918cc0c0,Preprod,https://preprod.cardanoscan.io/transaction/5cd74d393fd69e74d84eb156d66e4c40f7b489a9f003399a8d68a248918cc0c0,3654
Torre Volumen 2,4,Cimentación,Auto Pending→InProgress,STAGE_TRANSITION,286586df2416fa21d83dd4aa17b40ab6dbb900ddd835adf6a3beada2ee9bebaf,Preprod,https://preprod.cardanoscan.io/transaction/286586df2416fa21d83dd4aa17b40ab6dbb900ddd835adf6a3beada2ee9bebaf,3654
Torre Volumen 2,4,Cimentación,Observar (InProgress→Observed),STAGE_TRANSITION,80c693dfcb59abc77128c7a276750e27d1c0e80f89a6103f7178f02d58d5c543,Preprod,https://preprod.cardanoscan.io/transaction/80c693dfcb59abc77128c7a276750e27d1c0e80f89a6103f7178f02d58d5c543,3552
Torre Volumen 2,4,Cimentación,Reanudar (Observed→InProgress),STAGE_TRANSITION,255bfd5c4f577ec14031e920d4520e2f9656fb822fa07402f68343199d987f47,Preprod,https://preprod.cardanoscan.io/transaction/255bfd5c4f577ec14031e920d4520e2f9656fb822fa07402f68343199d987f47,3513
Torre Volumen 2,4,Cimentación,Certificar (InProgress→Completed),STAGE_TRANSITION,0238a9ae5ae6bb5ac96595ca9a58eca215d52b2f0106bc155096a163c12b2d25,Preprod,https://preprod.cardanoscan.io/transaction/0238a9ae5ae6bb5ac96595ca9a58eca215d52b2f0106bc155096a163c12b2d25,3482
Torre Volumen 2,5,Estructura planta baja,Mint (declaración),STAGE_CREATED,d2a43fe211837f40b1c273bd0196fbcb5dd67b329c7e0cee45883e210efff398,Preprod,https://preprod.cardanoscan.io/transaction/d2a43fe211837f40b1c273bd0196fbcb5dd67b329c7e0cee45883e210efff398,3737
Torre Volumen 2,5,Estructura planta baja,Ancla evidencia,EVIDENCE_ANCHOR,c9f7e5817a409c2850ed8b082830de1542aabf2c382d46e9dfef48e7cd4f49a7,Preprod,https://preprod.cardanoscan.io/transaction/c9f7e5817a409c2850ed8b082830de1542aabf2c382d46e9dfef48e7cd4f49a7,3653
Torre Volumen 2,5,Estructura planta baja,Auto Pending→InProgress,STAGE_TRANSITION,33f7deb053da97125c4ba61ab4b70af8ba00c3a9ecb9f556012275ddade0463a,Preprod,https://preprod.cardanoscan.io/transaction/33f7deb053da97125c4ba61ab4b70af8ba00c3a9ecb9f556012275ddade0463a,3653
